activity_type,display_name,source_id,source_name,confirmed
neck_isometric,Neck Hold,0462,front and back neck stretch,no
lower_back_side_stretch,Seated Side Stretch,1403,neck side stretch,no
glute_bridge,Glute Bridge,3013,low glute bridge on floor,yes
dead_bug,Dead Bug,0276,dead bug,yes
hamstring_stretch,Seated Hamstring Stretch,1511,hamstring stretch,yes
calf_stretch,Wall Calf Stretch,1377,calf stretch with hands against wall,yes
ankle_circles,Ankle Circles,1368,ankle circles,yes
wrist_circles,Wrist Circles,1428,wrist circles,yes
quad_stretch,Side-Lying Thigh Stretch,0613,lying (side) quads stretch,yes
